Код производителя:;CLX-3170FN/XEV
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;16 стр./мин. (Ч/Б)4 стр./мин. (Цв.)
Нагрузка в месяц:;20000 стр.
