Подача и захват бумаги;604K56080;604K56080 - Комплект захвата/подачи бумаги (ролик подачи, ролик протяжки и ролик отделения в комплекте);['Xerox Phaser 7800GX', 'Xerox WorkCentre 7220', 'Xerox Phaser 7500DT', 'Xerox Phaser 7800GXF', 'Xerox WorkCentre 7225', 'Xerox Phaser 7500DX', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7425', 'Xerox Phaser 7500N', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7428', 'Xerox Phaser 7800DN', 'Xerox WorkCentre 5335', 'Xerox WorkCentre 7435', 'Xerox Phaser 7800DX', 'Xerox WorkCentre 7120', 'Xerox Phaser 7800DXF', 'Xerox WorkCentre 7125'];E:\Projects\PycharmProjects\parser_profit\images\xerox\604K56080.jpg
Подача и захват бумаги;109R00790;"Xerox | 109R00790 - Комплект захвата/подачи бумаги из кассеты (лоток 2; ролик подачи, ролик протяжки и ролик отделения бумаги в комплекте)";['Xerox Phaser 7800GX', 'Xerox WorkCentre 7220', 'Xerox Phaser 7500DT', 'Xerox Phaser 7800GXF', 'Xerox WorkCentre 7225', 'Xerox Phaser 7500DX', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7425', 'Xerox Phaser 7500N', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7428', 'Xerox Phaser 7800DN', 'Xerox WorkCentre 5335', 'Xerox WorkCentre 7435', 'Xerox Phaser 7800DX', 'Xerox WorkCentre 7120', 'Xerox Phaser 7800DXF', 'Xerox WorkCentre 7125', 'Xerox Phaser 7500DN', 'Xerox Phaser 7800GX', 'Xerox WorkCentre 7220', 'Xerox Phaser 7500DT', 'Xerox Phaser 7800GXF', 'Xerox WorkCentre 7225', 'Xerox Phaser 7500DX', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7425', 'Xerox Phaser 7500N', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7428', 'Xerox Phaser 7800DN', 'Xerox WorkCentre 5335', 'Xerox WorkCentre 7435', 'Xerox Phaser 7800DX', 'Xerox WorkCentre 7120', 'Xerox Phaser 7800DXF', 'Xerox WorkCentre 7125', 'Xerox Phaser 7500DN', 'Xerox Phaser 7800GX', 'Xerox WorkCentre 7220', 'Xerox Phaser 7500DT', 'Xerox Phaser 7800GXF', 'Xerox WorkCentre 7225', 'Xerox Phaser 7500DX', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7425', 'Xerox Phaser 7500N', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7428', 'Xerox Phaser 7800DN', 'Xerox WorkCentre 5335', 'Xerox WorkCentre 7435', 'Xerox Phaser 7800DX', 'Xerox WorkCentre 7120', 'Xerox Phaser 7800DXF', 'Xerox WorkCentre 7125'];E:\Projects\PycharmProjects\parser_profit\images\xerox\109R00790.jpg
Подача и захват бумаги;CET7916;CET7916 - Комплект из 6-ти роликов захвата/подачи/отделения бумаги;['Xerox Phaser 7800GX', 'Xerox WorkCentre 7220', 'Xerox Phaser 7500DT', 'Xerox Phaser 7800GXF', 'Xerox WorkCentre 7225', 'Xerox Phaser 7500DX', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7425', 'Xerox Phaser 7500N', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7428', 'Xerox Phaser 7800DN', 'Xerox WorkCentre 5335', 'Xerox WorkCentre 7435', 'Xerox Phaser 7800DX', 'Xerox WorkCentre 7120', 'Xerox Phaser 7800DXF', 'Xerox WorkCentre 7125'];E:\Projects\PycharmProjects\parser_profit\images\xerox\CET7916.jpg
Подача и захват бумаги;059K26591;059K26591 - Ролик замедления бумаги;['Xerox WorkCentre 5335', 'Xerox WorkCentre 7530', 'Xerox WorkCentre 5222', 'Xerox WorkCentre 7132', 'Xerox WorkCentre 7535', 'Xerox WorkCentre 5225', 'Xerox WorkCentre 7232', 'Xerox WorkCentre 7545', 'Xerox WorkCentre 5225A', 'Xerox WorkCentre 7242', 'Xerox WorkCentre 7556', 'Xerox WorkCentre 5230', 'Xerox WorkCentre 7425', 'Xerox WorkCentre 7655', 'Xerox WorkCentre 5230A', 'Xerox WorkCentre 7428', 'Xerox WorkCentre 7665', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7435', 'Xerox WorkCentre 7675', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7525'];
Подача и захват бумаги;059K26691;059K26691 - Ролик подачи бумаги;['Xerox WorkCentre 5335', 'Xerox WorkCentre 7530', 'Xerox WorkCentre 5222', 'Xerox WorkCentre 7132', 'Xerox WorkCentre 7535', 'Xerox WorkCentre 5225', 'Xerox WorkCentre 7232', 'Xerox WorkCentre 7545', 'Xerox WorkCentre 5225A', 'Xerox WorkCentre 7242', 'Xerox WorkCentre 7556', 'Xerox WorkCentre 5230', 'Xerox WorkCentre 7425', 'Xerox WorkCentre 7655', 'Xerox WorkCentre 5230A', 'Xerox WorkCentre 7428', 'Xerox WorkCentre 7665', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7435', 'Xerox WorkCentre 7675', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7525'];
Подача и захват бумаги;059K26702;059K26702 - Подталкивающий ролик;['Xerox WorkCentre 5335', 'Xerox WorkCentre 7530', 'Xerox WorkCentre 5222', 'Xerox WorkCentre 7132', 'Xerox WorkCentre 7535', 'Xerox WorkCentre 5225', 'Xerox WorkCentre 7232', 'Xerox WorkCentre 7545', 'Xerox WorkCentre 5225A', 'Xerox WorkCentre 7242', 'Xerox WorkCentre 7556', 'Xerox WorkCentre 5230', 'Xerox WorkCentre 7425', 'Xerox WorkCentre 7655', 'Xerox WorkCentre 5230A', 'Xerox WorkCentre 7428', 'Xerox WorkCentre 7665', 'Xerox WorkCentre 5325', 'Xerox WorkCentre 7435', 'Xerox WorkCentre 7675', 'Xerox WorkCentre 5330', 'Xerox WorkCentre 7525'];
Электронные компоненты;130K64270;130K64270 - Датчик узла регистрации;['Xerox Phaser 5550DN', 'Xerox WorkCentre 7132', 'Xerox CopyCentre C123', 'Xerox Phaser 5550DT', 'Xerox WorkCentre 7232', 'Xerox CopyCentre C128', 'Xerox Phaser 5550DX', 'Xerox WorkCentre 7242', 'Xerox CopyCentre C133', 'Xerox Phaser 5550N', 'Xerox WorkCentre M118', 'Xerox Phaser 5500', 'Xerox WorkCentre 5222', 'Xerox WorkCentre M118i', 'Xerox Phaser 5500', 'Xerox WorkCentre 5225', 'Xerox WorkCentre M123', 'Xerox Phaser 5500B', 'Xerox WorkCentre 5225A', 'Xerox WorkCentre M128', 'Xerox Phaser 5500DN', 'Xerox WorkCentre 5230', 'Xerox WorkCentre M128', 'Xerox Phaser 5500DT', 'Xerox WorkCentre 5230A', 'Xerox WorkCentre M133', 'Xerox Phaser 5500N', 'Xerox WorkCentre 5325', 'Xerox WorkCentre Pro 123', 'Xerox Phaser 5550', 'Xerox WorkCentre 5330', 'Xerox WorkCentre Pro 128', 'Xerox Phaser 5550B', 'Xerox WorkCentre 5335', 'Xerox WorkCentre Pro 133'];
Узел термозакрепления;126K29404;126K29404 - Печь, в сборе (220В);['Xerox WorkCentre 5330', 'Xerox WorkCentre 5335'];
Узел термозакрепления;604K71430;604K71430 - Датчик выхода бумаги из узла термозакрепления, в сборе;['Xerox Phaser 5500DX', 'Xerox WorkCentre 5230A', 'OKI B930dn', 'Xerox Phaser 5500N', 'Xerox WorkCentre 5325', 'OKI B930dtn', 'Xerox Phaser 5550', 'Xerox WorkCentre 5330', 'OKI B930dxf', 'Xerox Phaser 5550B', 'Xerox WorkCentre 5335', 'OKI B930n', 'Xerox Phaser 5550DN', 'Xerox WorkCentre M118', 'Xerox CopyCentre 133', 'Xerox Phaser 5550DT', 'Xerox WorkCentre M118i', 'Xerox CopyCentre C118', 'Xerox Phaser 5550DX', 'Xerox WorkCentre M123', 'Xerox CopyCentre C123', 'Xerox Phaser 5550N', 'Xerox WorkCentre M128', 'Xerox CopyCentre C128', 'Xerox WorkCentre 133', 'Xerox WorkCentre Pro 123', 'Xerox Phaser 5500', 'Xerox WorkCentre 5222', 'Xerox WorkCentre Pro 128', 'Xerox Phaser 5500B', 'Xerox WorkCentre 5225', 'Xerox WorkCentre Pro 133', 'Xerox Phaser 5500DN', 'Xerox WorkCentre 5225A', 'Xerox Phaser 5500DT', 'Xerox WorkCentre 5230'];
Узел термозакрепления;CET4306;CET4306 - Прижимной вал;['Xerox WorkCentre 5230', 'Xerox WorkCentre M128', 'Xerox CopyCentre C128', 'Xerox WorkCentre 5230A', 'Xerox WorkCentre M133', 'Xerox CopyCentre C133', 'Xerox WorkCentre 5325', 'Xerox WorkCentre Pro 123', 'Xerox WorkCentre 5222', 'Xerox WorkCentre 5330', 'Xerox WorkCentre Pro 128', 'Xerox WorkCentre 5225', 'Xerox WorkCentre 5335', 'Xerox WorkCentre Pro 133', 'Xerox WorkCentre 5225A', 'Xerox WorkCentre M123'];E:\Projects\PycharmProjects\parser_profit\images\xerox\CET4306.jpg
Узел термозакрепления;CET4305;CET4305 - Тефлоновый вал;['Xerox WorkCentre 5230', 'Xerox WorkCentre M128', 'Xerox CopyCentre C128', 'Xerox WorkCentre 5230A', 'Xerox WorkCentre M133', 'Xerox CopyCentre C133', 'Xerox WorkCentre 5325', 'Xerox WorkCentre Pro 123', 'Xerox WorkCentre 5222', 'Xerox WorkCentre 5330', 'Xerox WorkCentre Pro 128', 'Xerox WorkCentre 5225', 'Xerox WorkCentre 5335', 'Xerox WorkCentre Pro 133', 'Xerox WorkCentre 5225A', 'Xerox WorkCentre M123'];E:\Projects\PycharmProjects\parser_profit\images\xerox\CET4305.jpg
Узел термозакрепления;CET3525;CET3525 - Палец отделения бумаги от тефлонового вала (1 шт.);['Xerox WorkCentre 5230', 'Xerox WorkCentre M128', 'Xerox CopyCentre C128', 'Xerox WorkCentre 5230A', 'Xerox WorkCentre M133', 'Xerox CopyCentre C133', 'Xerox WorkCentre 5325', 'Xerox WorkCentre Pro 123', 'Xerox WorkCentre 5222', 'Xerox WorkCentre 5330', 'Xerox WorkCentre Pro 128', 'Xerox WorkCentre 5225', 'Xerox WorkCentre 5335', 'Xerox WorkCentre Pro 133', 'Xerox WorkCentre 5225A', 'Xerox WorkCentre M123'];E:\Projects\PycharmProjects\parser_profit\images\xerox\CET3525.jpg
Детали корпуса;497K04744;497K04744 - Лоток для конвертов;['Xerox WorkCentre 5330', 'Xerox WorkCentre 5335'];
